2024/07/08 21:00:54 [error] 186#186: *605 connect() failed (111: Connection refused) while connecting to upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET / HTTP/1.1", upstream: "http://10.2.0.5:80/", host: "orch.buckfiddy", referrer: "http://proxy.buckfiddy/"
2024/07/08 21:00:54 [error] 186#186: *605 connect() failed (111: Connection refused) while connecting to upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /favicon.ico HTTP/1.1", upstream: "http://10.2.0.5:80/favicon.ico", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/08 21:01:21 [error] 211#211: *630 connect() failed (111: Connection refused) while connecting to upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET / HTTP/1.1", upstream: "http://10.2.0.5:80/", host: "orch.buckfiddy", referrer: "http://proxy.buckfiddy/"
2024/07/08 21:01:21 [error] 211#211: *630 connect() failed (111: Connection refused) while connecting to upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /favicon.ico HTTP/1.1", upstream: "http://10.2.0.5:80/favicon.ico", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/08 21:01:46 [error] 224#224: *652 connect() failed (111: Connection refused) while connecting to upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET / HTTP/1.1", upstream: "http://10.2.0.5:80/", host: "orch.buckfiddy", referrer: "http://proxy.buckfiddy/"
2024/07/08 21:01:46 [error] 224#224: *652 connect() failed (111: Connection refused) while connecting to upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /favicon.ico HTTP/1.1", upstream: "http://10.2.0.5:80/favicon.ico", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/08 21:44:51 [error] 242#242: *1318 connect() failed (111: Connection refused) while connecting to upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET / HTTP/1.1", upstream: "http://10.2.0.5:80/", host: "orch.buckfiddy", referrer: "http://proxy.buckfiddy/"
2024/07/08 21:44:51 [error] 242#242: *1318 connect() failed (111: Connection refused) while connecting to upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /favicon.ico HTTP/1.1", upstream: "http://10.2.0.5:80/favicon.ico", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 00:04:50 [warn] 229#229: *8120 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/2/00/0000000002 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /vendor.b4533442c1cbb18b98a1.css HTTP/1.1", upstream: "http://10.2.0.5:9815/vendor.b4533442c1cbb18b98a1.css", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 00:04:50 [warn] 231#231: *8121 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/3/00/0000000003 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /main.38f57d39220bf45fc6e7.css HTTP/1.1", upstream: "http://10.2.0.5:9815/main.38f57d39220bf45fc6e7.css", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 00:04:50 [warn] 229#229: *8124 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/4/00/0000000004 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /vendor.9b54dbb269b29babe8e2.js HTTP/1.1", upstream: "http://10.2.0.5:9815/vendor.9b54dbb269b29babe8e2.js", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 00:04:50 [warn] 231#231: *8125 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/5/00/0000000005 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /main.bbf397b28ee6685e3716.js HTTP/1.1", upstream: "http://10.2.0.5:9815/main.bbf397b28ee6685e3716.js", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 00:08:03 [warn] 229#229: *8117 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/6/00/0000000006 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /api/motd HTTP/1.1", upstream: "http://10.2.0.5:9815/api/motd", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 00:09:29 [warn] 229#229: *8147 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/7/00/0000000007 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /api/motd HTTP/1.1", upstream: "http://10.2.0.5:9815/api/motd", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 00:12:53 [warn] 229#229: *8120 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/8/00/0000000008 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /api/motd HTTP/1.1", upstream: "http://10.2.0.5:9815/api/motd", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 00:15:21 [warn] 231#231: *8675 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/0/01/0000000010 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /api/motd HTTP/1.1", upstream: "http://10.2.0.5:9815/api/motd", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 00:17:55 [warn] 229#229: *8761 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/1/01/0000000011 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /api/motd HTTP/1.1", upstream: "http://10.2.0.5:9815/api/motd", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 00:18:00 [warn] 229#229: *8767 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/2/01/0000000012 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /api/motd HTTP/1.1", upstream: "http://10.2.0.5:9815/api/motd", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 00:25:15 [warn] 231#231: *9011 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/3/01/0000000013 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /api/motd HTTP/1.1", upstream: "http://10.2.0.5:9815/api/motd", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 00:25:54 [warn] 229#229: *9006 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/4/01/0000000014 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /api/motd HTTP/1.1", upstream: "http://10.2.0.5:9815/api/motd", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 00:28:38 [warn] 229#229: *9236 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/5/01/0000000015 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /api/motd HTTP/1.1", upstream: "http://10.2.0.5:9815/api/motd", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 00:32:44 [warn] 230#230: *9300 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/6/01/0000000016 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /api/motd HTTP/1.1", upstream: "http://10.2.0.5:9815/api/motd", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
2024/07/09 00:34:19 [warn] 231#231: *9298 an upstream response is buffered to a temporary file /var/cache/nginx/proxy_temp/7/01/0000000017 while reading upstream, client: 172.18.0.1, server: orch.buckfiddy, request: "GET /api/motd HTTP/1.1", upstream: "http://10.2.0.5:9815/api/motd", host: "orch.buckfiddy", referrer: "http://orch.buckfiddy/"
